UID        PID  PPID  C STIME TTY          TIME CMD
root      2082     1  0 Aug17 ?        00:00:03 /usr/libexec/postfix/master -w
postfix   2094  2082  0 Aug17 ?        00:00:01 qmgr -l -t unix -u
root      2096     2  0 Aug17 ?        00:00:00 [loop0]
root      2097     2  0 Aug17 ?        00:00:00 [loop1]
root      2100     2  0 Aug17 ?        00:00:00 [kdmflush]
root      2104     2  0 Aug17 ?        00:00:00 [dm_bufio_cache]
root      2107     2  0 Aug17 ?        00:00:00 [bioset]
root      2109     2  0 Aug17 ?        00:00:00 [kcopyd]
root      2110     2  0 Aug17 ?        00:00:00 [bioset]
root      2111     2  0 Aug17 ?        00:00:00 [dm-thin]
root      2112     2  0 Aug17 ?        00:00:00 [bioset]
nobody    2167     1  0 Aug17 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/v
root      2168  2167  0 Aug17 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/v
mssql     2498  1754  2 Aug17 ?        01:46:13 /opt/mssql/bin/sqlservr
root      3147     2  0 Aug17 ?        00:00:00 [dio/dm-0]
root      3187     2  0 14:20 ?        00:00:00 [kworker/3:1]
root      3570     2  0 14:20 ?        00:00:00 [kworker/u8:1]
root      4011     2  0 14:21 ?        00:00:00 [kworker/2:1]
admin     4242  9653  2 14:21 pts/0    00:00:16 ./tea --innerProcess
root      4450     2  0 14:21 ?        00:00:00 [kworker/1:1]
root      5021     1  0 Aug17 ?        00:00:00 /usr/sbin/gdm
root      5036  5021  0 Aug17 tty1     00:07:59 /usr/bin/X :0 -background none -
root      5113     1  0 Aug17 ?        00:00:00 /usr/libexec/upowerd
root      5200     1  0 Aug17 ?        00:00:01 /usr/sbin/wpa_supplicant -u -f /
root      5201     1  0 Aug17 ?        00:00:06 /usr/libexec/packagekitd
colord    5285     1  0 Aug17 ?        00:00:00 /usr/libexec/colord
root      5374  5021  0 Aug17 ?        00:00:00 gdm-session-worker [pam/gdm-pass
admin     5387     1  0 Aug17 ?        00:00:00 /usr/bin/gnome-keyring-daemon --
admin     5394  5374  0 Aug17 ?        00:00:01 /usr/libexec/gnome-session-binar
admin     5403     1  0 Aug17 ?        00:00:00 dbus-launch --sh-syntax --exit-w
admin     5404     1  0 Aug17 ?        00:00:01 /usr/bin/dbus-daemon --fork --pr
admin     5468     1  0 Aug17 ?        00:00:00 /usr/libexec/imsettings-daemon
admin     5472     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfsd
admin     5477     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/use
admin     5573  5394  0 Aug17 ?        00:00:01 /usr/bin/ssh-agent /bin/sh -c ex
admin     5598     1  0 Aug17 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
admin     5603  5598  0 Aug17 ?        00:00:00 /bin/dbus-daemon --config-file=/
admin     5606     1  0 Aug17 ?        00:00:01 /usr/libexec/at-spi2-registryd -
admin     5639  5394  0 Aug17 ?        00:26:21 /usr/bin/gnome-shell
admin     5652     1  0 Aug17 ?        00:00:00 /usr/bin/pulseaudio --start --lo
admin     5689  5639  0 Aug17 ?        00:00:06 ibus-daemon --xim --panel disabl
admin     5695     1  0 Aug17 ?        00:00:00 /usr/libexec/xdg-permission-stor
admin     5696  5689  0 Aug17 ?        00:00:00 /usr/libexec/ibus-dconf
admin     5698     1  0 Aug17 ?        00:00:00 /usr/libexec/ibus-x11 --kill-dae
admin     5703     1  0 Aug17 ?        00:00:00 /usr/libexec/ibus-portal
admin     5710     1  0 Aug17 ?        00:00:00 /usr/libexec/gnome-shell-calenda
admin     5724     1  0 Aug17 ?        00:00:00 /usr/libexec/evolution-source-re
admin     5732     1  0 Aug17 ?        00:00:00 /usr/libexec/dconf-service
admin     5741     1  0 Aug17 ?        00:00:00 /usr/libexec/goa-daemon
admin     5743     1  0 Aug17 ?        00:00:01 /usr/libexec/mission-control-5
admin     5754     1  0 Aug17 ?        00:00:05 /usr/libexec/gvfs-udisks2-volume
admin     5759     1  0 Aug17 ?        00:00:16 /usr/libexec/goa-identity-servic
root      5764     1  0 Aug17 ?        00:00:01 /usr/libexec/udisks2/udisksd
admin     5812     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-mon
admin     5817     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfs-afc-volume-mon
admin     5823     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume
admin     5828     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfs-goa-volume-mon
admin     5838  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-mouse
admin     5840  5394  0 Aug17 ?        00:00:01 /usr/libexec/gsd-power
admin     5843  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-print-notificat
admin     5846  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-rfkill
admin     5848  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-screensaver-pro
admin     5853  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-wacom
